wavenumber,2.5kGy_sn48_sample1,2.5kGy_sn48_sample2,2.5kGy_sn48_sample3,2.5kGy_sn48_sample4,2.5kGy_sn48_sample5,2.5kGy_sn48_sample6,2.5kGy_sn48_sample7,2.5kGy_sn48_sample8,2.5kGy_sn48_sample9
1091.89122,0.04702,0.0425,0.04409,0.03913,0.10994,0.04062,0.04432,0.09413,0.04565
1089.83105,0.04865,0.04411,0.04588,0.04073,0.11186,0.04209,0.04621,0.09565,0.04739
1087.77088,0.05014,0.0456,0.04742,0.04205,0.11375,0.04354,0.04812,0.09729,0.04919
1085.71071,0.05168,0.04708,0.04869,0.04329,0.11539,0.04506,0.04981,0.09875,0.05093
1083.65053,0.05347,0.04853,0.05017,0.04471,0.11696,0.04647,0.05132,0.10003,0.0525
1081.59036,0.0555,0.04994,0.05189,0.0462,0.11874,0.04774,0.05295,0.10153,0.054
1079.53019,0.05751,0.05157,0.05367,0.04767,0.12082,0.04914,0.05487,0.10328,0.05556
1077.47002,0.05948,0.05347,0.05555,0.0492,0.12298,0.05078,0.05698,0.10509,0.05732
1075.40985,0.0614,0.05547,0.05756,0.05087,0.12496,0.05253,0.05901,0.10684,0.05939
1073.34967,0.06311,0.05746,0.05968,0.05242,0.12684,0.05428,0.06089,0.10845,0.06151
1071.2895,0.06473,0.05926,0.06167,0.05377,0.1287,0.05602,0.0627,0.10992,0.06327
1069.22933,0.06635,0.06077,0.06318,0.05515,0.13032,0.05752,0.06443,0.11131,0.06469
1067.16916,0.06787,0.06207,0.06442,0.05653,0.13174,0.05864,0.06587,0.11274,0.066
1065.10898,0.06929,0.06328,0.06573,0.05769,0.13323,0.05956,0.06697,0.1142,0.06733
1063.04881,0.07047,0.06442,0.06713,0.05848,0.13469,0.06045,0.068,0.11539,0.06868
1060.98864,0.07148,0.06551,0.06836,0.05929,0.13596,0.06156,0.06919,0.1162,0.06993
1058.92847,0.07263,0.06666,0.0693,0.06041,0.1373,0.06286,0.07054,0.11695,0.07113
1056.8683,0.07402,0.06784,0.07031,0.06172,0.13891,0.0641,0.07204,0.11804,0.07257
1054.80812,0.07563,0.06919,0.07169,0.06302,0.1407,0.06544,0.07358,0.11952,0.07424
1052.74795,0.07734,0.07094,0.07344,0.06436,0.14249,0.06704,0.07519,0.1211,0.076
1050.68778,0.07899,0.07285,0.07545,0.06606,0.14421,0.06863,0.07702,0.12279,0.07804
1048.62761,0.08084,0.07478,0.07763,0.06801,0.14602,0.07035,0.07914,0.12469,0.08037
1046.56744,0.08309,0.07685,0.07986,0.06982,0.14808,0.0725,0.08153,0.12654,0.08235
1044.50726,0.08546,0.07895,0.08194,0.07155,0.15045,0.0747,0.08388,0.12828,0.08401
1042.44709,0.08746,0.08085,0.08391,0.07332,0.1528,0.07636,0.08594,0.13012,0.08583
1040.38692,0.08912,0.08256,0.08579,0.07491,0.15477,0.07766,0.08791,0.13192,0.08762
1038.32675,0.09088,0.08419,0.08741,0.07614,0.15641,0.07903,0.08987,0.13353,0.08912
1036.26657,0.09248,0.08575,0.08864,0.07711,0.1578,0.08022,0.09144,0.13488,0.09032
1034.2064,0.09338,0.08684,0.08951,0.07786,0.15876,0.08089,0.09232,0.13584,0.09121
1032.14623,0.09377,0.08715,0.09005,0.07827,0.15919,0.08133,0.09264,0.13639,0.09179
1030.08606,0.09392,0.08711,0.09028,0.07839,0.15938,0.08167,0.0927,0.13662,0.09197
1028.02589,0.09374,0.08713,0.09023,0.07835,0.15956,0.08175,0.09269,0.13667,0.09186
1025.96571,0.09334,0.08708,0.09003,0.07819,0.15966,0.08153,0.09265,0.13656,0.09166
1023.90554,0.09299,0.08661,0.08977,0.07788,0.15973,0.08106,0.09239,0.13637,0.0913
1021.84537,0.0928,0.08584,0.08942,0.07753,0.15963,0.08065,0.09197,0.13622,0.0909
1019.7852,0.09274,0.08536,0.08902,0.07725,0.15922,0.08054,0.0917,0.13612,0.09061
1017.72503,0.09249,0.08526,0.08867,0.07694,0.15885,0.08046,0.09145,0.13609,0.09036
1015.66485,0.09203,0.0853,0.0885,0.07672,0.15882,0.08023,0.09116,0.13607,0.09031
1013.60468,0.09193,0.08531,0.08846,0.07683,0.15899,0.0801,0.09128,0.1362,0.09046
1011.54451,0.0923,0.08539,0.08853,0.07711,0.15929,0.08024,0.09165,0.13658,0.09065
1009.48434,0.09265,0.08564,0.08872,0.07738,0.15974,0.08058,0.09176,0.1369,0.09075
1007.42417,0.09263,0.08586,0.08878,0.07754,0.16012,0.08084,0.09187,0.13705,0.0907
1005.36399,0.09235,0.08572,0.0885,0.07746,0.16013,0.08072,0.09209,0.13719,0.09063
1003.30382,0.09194,0.08523,0.08805,0.07705,0.15967,0.08016,0.09195,0.13725,0.09041
1001.24365,0.09115,0.08463,0.08754,0.07621,0.15897,0.07948,0.09129,0.13701,0.08975
999.18348,0.08986,0.0838,0.08684,0.07519,0.15826,0.07887,0.09013,0.13644,0.08874
997.1233,0.0885,0.08249,0.08573,0.07431,0.15747,0.07798,0.08869,0.13565,0.08753
995.06313,0.08733,0.08096,0.0843,0.07341,0.15656,0.07678,0.08725,0.13452,0.08597
993.00296,0.08609,0.07945,0.08278,0.0723,0.15547,0.0757,0.08573,0.1331,0.08437
990.94279,0.08451,0.07812,0.08116,0.07098,0.15418,0.07458,0.08418,0.1319,0.08303
988.88262,0.08273,0.07695,0.07952,0.06964,0.15276,0.07316,0.08287,0.13115,0.08166
986.82244,0.08131,0.07573,0.07811,0.06848,0.15132,0.07168,0.08175,0.13047,0.08017
984.76227,0.08015,0.07436,0.07695,0.06755,0.14999,0.07052,0.0806,0.12943,0.07884
982.7021,0.07875,0.07304,0.07581,0.06659,0.14883,0.06961,0.07925,0.12825,0.07761
980.64193,0.07729,0.07191,0.0747,0.06538,0.14793,0.06846,0.0777,0.12741,0.07623
